Degree,Features,9-fold Loss
1,"['Percentile10', 'Range', 'Skewness', 'Min', 'CoefficientOfVariation']",0.16640610210080556
1,"['Percentile10', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness']",0.16688969126994962
1,"['Percentile10', 'Skewness', 'PearsonsMedianSkewness', 'CoefficientOfVariation', 'IntensityEnergy']",0.1669998604651323
1,"['Percentile10', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis', 'IntensityEnergy']",0.16704856973315751
1,"['Percentile10', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis', 'Min']",0.16707809270123153
1,"['Max', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis', 'CoefficientOfVariation']",0.16708406251892283
1,"['RobustMeanAbsoluteDeviation', 'Skewness', 'Min', 'CoefficientOfVariation']",0.16721353313827336
1,"['Percentile10', 'RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness', 'IntensityEnergy']",0.16728149871636447
1,"['Percentile10', 'RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis']",0.1673519532848184
1,"['Percentile10', 'Skewness', 'PearsonsMedianSkewness', 'CoefficientOfVariation']",0.16742768596851107
1,"['Percentile10', 'Skewness', 'PearsonsMedianSkewness', 'IntensityEnergy']",0.16746555216487297
1,"['Percentile10', 'Range', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis']",0.16752195284341065
1,"['Percentile10', 'Max', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis']",0.16789350123951197
1,"['Percentile10', 'ShiftedRootMeanSquaredIntensity', 'RobustMeanAbsoluteDeviation', 'Skewness', 'CoefficientOfVariation']",0.16818948300953077
1,"['Percentile10', 'Max', 'Skewness', 'CoefficientOfVariation', 'IntensityEnergy']",0.1682020055051334
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Range', 'CoefficientOfVariation', 'IntensityEnergy']",0.16834551486031757
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Min', 'CoefficientOfVariation', 'IntensityEnergy']",0.1683520452762103
1,"['ShiftedRootMeanSquaredIntensity', 'Range', 'Min', 'CoefficientOfVariation', 'IntensityEnergy']",0.16835473134736476
