Subsegment,Left-Parotid,Left-Parotid-SD,Right-Parotid,Right-Parotid-SD
whole-gland,10.626358482357643,2.846724822296922,10.462215509333847,2.6390257471819085
1,6.83752197013393,2.817796566947052,7.490020185536008,2.8784878083995737
2,8.70757515567334,3.4239456007198887,8.995886121916696,3.021479120375632
3,7.689881297517057,3.3844301071510365,7.835831972843868,2.749088109481594
4,8.832741016983627,2.751102072617296,9.452881138746323,3.075657353738171
5,11.166649278357015,3.5782849508445462,11.326224227330252,3.330693320442648
6,10.427856394717796,3.4504918778341147,10.754272265960362,3.206756758903468
7,10.534632922167159,3.5906023234699793,10.646091675573706,3.419821612118712
8,12.697859682534093,4.031938609719171,12.177525961426092,3.4553695735751426
9,11.175901155484144,3.773308361067933,10.842672669898878,3.566992307590578
10,8.924514727233676,3.47359739813359,8.341925827005932,3.162387590723082
11,11.043154618365822,3.7008922506720157,10.449365865988774,3.08529222499999
12,9.784833077460624,2.6804786620203394,10.045740368341816,2.991678860609921
13,11.053888631388002,3.72527365638696,10.181044936203202,3.7967370931711266
14,13.640625876867318,4.294937487509794,12.86384006064746,3.7163309868584804
15,12.399092036833375,3.7920860204699114,12.342025346427528,3.372777486129196
16,11.677726306383779,4.343569212531061,10.964553729627943,4.042227836286249
17,14.199748640413118,4.214068037332196,13.554323013218918,4.030869971950333
18,12.768827655074187,4.341864076938694,12.71017836442883,3.9562806011337828
Spearmans Coefficient,-0.5686274509803921,-0.5438596491228069
Pearsons Coefficient,-0.5253359644534494,-0.4860046963925579
Spearman Significance,0.006900218805862746,0.009821781863895823
Pearson Significance,0.012583245898286327,0.020431847146063716
