Subsegment,Left-Sub,Left-Sub-SD,Right-Sub,Right-Sub-SD
whole-gland,11.347970495540562,3.0506269393084096,11.339888908400667,3.042665962072482
1,10.760799019572397,3.9296585409812126,11.07040668626823,4.255937524618828
2,10.63871255652202,4.386453916369496,10.914316600299504,3.8627583046627683
3,12.384545479650232,3.6992978271500823,11.68055959240841,3.513434844257894
4,11.282420964607523,4.074128750558482,11.286559636386501,2.5680280473489536
5,12.251031581568048,3.777467638917966,12.841629377836423,4.396535562730342
6,10.68197779995344,3.4441075546404947,10.682687955624395,4.203900554762326
7,13.0796991854565,3.7008845889565105,12.687871832203951,4.247901607475161
8,11.360329921235769,3.0866496890475097,11.100260171882953,3.656281779040719
Spearmans Coefficient,-0.30952380952380953,-0.23809523809523814
Pearsons Coefficient,-0.2898669210054734,-0.2986058006514856
Spearman Significance,0.2278224453687911,0.28507816040788414
Pearson Significance,0.24308820885331295,0.23625274669139845
